,User,Tweet,Time,url
53,davikah2ss,"@camila7ss Hello, darling. Hm, Tentang apa? Singkatnya bercerita mengenai seorang guru satra inggris, deh. But things that make the movie more interesting itu terdapat beberapa scene yang menyindir pemikiran-pemikiran orthodox dan aturan kolot tahun 1950-an.",2022-09-14 16:18:56+00:00,https://mobile.twitter.com
54,DimasWi28217776,"Seumur hidup baru pernah di tanya ""how are you today"" cuma Ama guru B.Inggris doang",2022-09-14 15:44:34+00:00,http://twitter.com/download/android
55,hambaAllahRt26,"Ibu vevi vemiawati , guru bahasa Inggris , wangi bener . Kalo lewat orangnya gak ada , baunya masih ada 😍 https://t.co/DQRTXDa0i3",2022-09-14 15:43:08+00:00,http://twitter.com/download/android
56,sendymatsumoto,"@dont_sal @Bjorkanisma_ @aniesbaswedan Guru BHS Inggris keknya, kak... kehkehkeh..",2022-09-14 15:27:14+00:00,https://mobile.twitter.com
57,cIingiy,"pak hardi, soalnya dia guru bahasa inggris + penanggung jawab ekskul basa jepang yg gue ikutin dulu. cara ngajarnya enak, orangnya humble + lucu, suka nyelipin nilai kemanusiaan juga. https://t.co/YwSQcfe5OV",2022-09-14 15:01:15+00:00,http://twitter.com/download/iphone
58,ZaaraObelia,Madam sri guru bahasa inggris wkwkwkwkwkkw https://t.co/X4iAwBWjlx,2022-09-14 14:57:52+00:00,http://twitter.com/download/android
59,ardxxr,@convomf guru Inggris kalian ganteng ga?,2022-09-14 14:51:34+00:00,http://twitter.com/download/android
60,x1oneitgirl,"@Jokitugsfess i'll come to the rescue! 🥰 yukk sama aku lulusan sastra inggris top 5 ptn + guru bimbel dijamin nilai baguss, PG start 2k/soal, short essay 4k/soal, long essay start 10k/soal",2022-09-14 14:48:23+00:00,http://twitter.com/download/android
61,naisswy,seumur umur kayanya cuma guru bhs inggris yang pernah nanyain “how are you today?”,2022-09-14 14:40:42+00:00,http://twitter.com/download/iphone
62,x1oneitgirl,"@Jokitugsfess i'll come to the rescue! 🥰 yukk sama aku lulusan sastra inggris top 5 ptn + guru bimbel dijamin nilai baguss, PG start 2k/soal, short essay 4k/soal, long essay start 10k/soal",2022-09-14 14:08:00+00:00,http://twitter.com/download/android
63,x1oneitgirl,"@yeonbiln i'll come to the rescue! 🥰 yukk sama aku lulusan sastra inggris top 5 ptn + suka banget sejarahh + guru bimbel dijamin nilai baguss, PG start 2k/soal, short essay 4k/soal, long essay start 10k/soal",2022-09-14 14:04:00+00:00,http://twitter.com/download/android
64,x1oneitgirl,"@Jokitugsfess i'll come to the rescue! 🥰 yukk sama aku lulusan sastra inggris top 5 ptn + guru bimbel dijamin nilai baguss, PG start 2k/soal, short essay 4k/soal, long essay start 10k/soal",2022-09-14 13:58:24+00:00,http://twitter.com/download/android
65,tonysIark,"@cantrelateto Halo kak Helen, maaf mengganggu
Aku lg butuh voluntir utk mengisi gform tentang guru bhs inggris utk tugasku, kebetulan aku lihat salah satu tweet kakak yang katanya guru bahasa inggris, klo kakak berkenan, mohon isi ya kak 

https://t.co/bTinj5pNwt
terimakasih sebelumnya, kak 🙏",2022-09-14 13:13:16+00:00,http://twitter.com/download/android
66,duniawiabsurd,"seumur-umur kayanya cuma guru bahasa inggris yang pernah nanya ""how are you today""",2022-09-14 12:55:05+00:00,http://twitter.com/download/android
67,beomtoyi,"tadi waktu b inggris sm guru ppl magang nerangin, also my teacher sit beside him, and he’s talk to the teacher speak with english lucu bgt pls aw aw",2022-09-14 12:43:37+00:00,http://twitter.com/download/iphone
68,mearklie,Helppp ada yg guru bahasa inggris gaa????,2022-09-14 12:39:41+00:00,http://twitter.com/download/android
69,mtmonamour,@mahearsena @gabseknath kak sena lo dulu waktu sekolah gak pernah dikeluarin guru bahasa inggris atau sastra inggris ya basing lo bagus bangett gua sampe insekyurr jadi apa apa harus gua trangslet dulu keren banget tiap bahasa indonesia di mix sama basing 😖,2022-09-14 11:48:24+00:00,http://twitter.com/download/iphone
70,sseoorivv,pertama kali nya dalam seumur hidup gw ga minat pelajaran bahasa inggris karna guru pengajar nya,2022-09-14 11:40:36+00:00,http://twitter.com/download/android
71,Dzlfhmi_,"@Annisayatika4 @mks_fess Not delicious body masih okelah langsung ji di tangkap kalau lagi tdk enak badan na na maksud tpi itu enter wind, masuk angin aduhhh pening kepala guru bahasa Inggris mu liat ini nder.",2022-09-14 11:08:07+00:00,http://twitter.com/download/android
72,wannabeverlast,Beneran guru bahasa inggris https://t.co/gMMxx9GhnE,2022-09-14 10:13:39+00:00,http://twitter.com/download/android
